stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\practises\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.19510] added dtor for sub_bitmap 027a40a0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19525] added dtor for sub_bitmap 027a3f18, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19536] added dtor for sub_bitmap 027a3d90, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19547] added dtor for sub_bitmap 027a4228, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19558] added dtor for sub_bitmap 027a5610, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19568] added dtor for sub_bitmap 027a4ff0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19577] added dtor for sub_bitmap 027a5798, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19585] added dtor for sub_bitmap 027a4538, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19595] added dtor for sub_bitmap 027a43b0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19603] added dtor for sub_bitmap 027a3a80, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19614] added dtor for sub_bitmap 027a4ce0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19623] added dtor for sub_bitmap 027a49d0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19632] added dtor for sub_bitmap 027a3c08, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19640] added dtor for sub_bitmap 027a46c0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19648] added dtor for sub_bitmap 027a4848, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19657] added dtor for sub_bitmap 027a4e68, func 747a1c9e
